depth	min	max	median	mean
0	-53	-53	-53	-53
1	-53	-36	-48	-47
2	-52	-20	-43	-41
3	-52	-3	-37	-35
4	-51	14	-32	-29
5	-51	31	-27	-22
6	-46	36	-21	-17
7	-43	41	-14	-11
8	-42	49	-8	-5
9	-40	60	-3	1
10	-39	73	3	7
11	-33	78	9	13
12	-30	84	16	19
13	-27	91	22	25
14	-24	100	28	31
15	-22	112	34	37
16	-16	116	40	43
17	-12	122	46	48
18	-9	128	53	54
19	-6	136	59	60
20	-4	143	65	66
21	4	147	71	71
22	10	152	77	77
23	15	158	83	83
24	18	166	89	89
25	21	175	94	95
26	29	178	100	101
27	34	182	106	107
28	37	187	112	112
29	40	194	118	118
30	43	202	124	124
31	50	206	130	130
32	55	210	136	135
33	60	216	142	141
34	64	223	148	147
35	67	231	155	153
36	74	233	160	158
37	80	236	166	164
38	85	242	172	170
39	90	248	178	176
40	94	255	185	181
41	102	258	189	187
42	109	261	195	192
43	114	264	200	198
44	120	266	205	203
45	124	272	210	208
46	132	274	215	214
47	139	277	221	220
48	147	280	227	225
49	153	285	234	231
50	157	291	240	237
51	167	295	248	243
52	175	299	256	250
53	183	305	264	257
54	189	313	272	264
55	193	322	279	271
56	203	333	289	281
57	211	346	299	292
58	216	363	308	302
59	220	382	317	312
60	224	404	326	323
61	235	409	338	333
62	244	413	351	344
63	254	419	365	354
64	261	430	378	365
65	266	444	391	375
66	286	449	400	387
67	300	454	410	398
68	309	463	419	410
69	316	473	429	421
70	323	489	439	433
71	350	493	449	443
72	373	499	459	454
73	394	508	469	465
74	410	520	479	476
75	422	536	489	487
76	451	541	502	501
77	474	548	515	515
78	489	561	529	529
79	499	583	543	543
80	506	611	556	557
81	522	617	571	570
82	533	626	586	584
83	540	640	600	597
84	546	660	614	611
85	551	685	627	625
86	580	691	643	642
87	610	702	659	658
88	636	715	675	675
89	655	735	692	692
90	667	760	708	709
91	681	766	719	721
92	693	776	731	732
93	702	789	744	743
94	709	806	755	755
95	715	825	766	766
96	736	831	778	778
97	751	837	789	791
98	762	847	801	803
99	771	861	813	815
100	776	881	826	828
101	788	886	833	835
102	798	893	841	842
103	805	902	848	850
104	809	913	856	857
105	813	928	863	864
106	831	936	875	876
107	841	944	886	887
108	849	955	899	899
109	856	973	909	911
110	861	996	920	922
111	894	1018	945	947
112	917	1050	968	972
113	929	1093	990	996
