depth	min	max	median	mean
0	-61	-55	-58	-58
1	-58	-35	-52	-50
2	-57	-11	-46	-43
3	-57	12	-39	-35
4	-56	36	-33	-27
5	-56	59	-27	-20
6	-50	66	-19	-12
7	-48	73	-10	-4
8	-45	83	-1	4
9	-43	95	7	12
10	-41	110	14	19
11	-34	114	23	27
12	-30	118	31	35
13	-26	125	40	43
14	-23	135	48	50
15	-20	149	55	58
16	-12	154	64	65
17	-6	160	71	73
18	-2	168	80	80
19	2	175	87	87
20	6	183	95	94
21	14	188	103	102
22	23	195	110	109
23	28	204	118	117
24	31	210	126	124
25	34	222	134	131
26	45	229	141	139
27	52	237	149	146
28	58	246	156	154
29	63	257	164	161
30	68	267	172	169
31	74	273	179	175
32	80	277	185	182
33	86	281	192	188
34	89	287	198	195
35	93	295	204	202
36	100	300	211	208
37	106	306	219	215
38	112	313	225	222
39	117	321	232	229
40	124	331	238	236
41	132	336	244	242
42	139	343	251	249
43	146	350	258	256
44	152	357	264	262
45	156	367	270	269
46	164	373	277	276
47	170	379	284	283
48	175	386	291	289
49	181	395	298	296
50	186	405	304	303
51	194	409	311	309
52	201	415	317	316
53	206	419	324	322
54	213	427	331	329
55	219	434	338	336
56	229	438	344	343
57	238	442	352	350
58	245	446	360	357
59	250	453	367	364
60	255	459	375	371
61	264	464	381	377
62	275	467	388	384
63	282	472	396	391
64	288	479	403	398
65	294	487	410	405
66	305	488	416	412
67	311	491	423	418
68	318	496	431	425
69	325	502	438	432
70	329	510	445	439
71	337	513	452	446
72	346	515	460	453
73	354	519	468	461
74	361	523	476	468
75	364	530	483	475
76	376	532	490	482
77	383	535	496	488
78	387	537	502	495
79	392	540	509	502
80	397	546	516	508
81	405	549	520	513
82	409	554	524	517
83	416	560	527	521
84	423	566	531	525
85	432	575	534	529
86	439	577	538	533
87	444	581	541	537
88	451	584	545	541
89	457	590	549	544
90	462	596	552	548
91	471	599	556	552
92	479	601	559	556
93	485	605	563	559
94	491	609	566	563
95	498	614	569	567
96	502	616	573	571
97	508	619	577	574
98	513	622	581	578
99	517	627	584	582
100	521	632	588	586
101	525	635	592	589
102	529	637	595	593
103	535	640	599	597
104	540	644	602	600
105	544	649	606	604
106	549	652	609	607
107	555	655	613	611
108	561	657	616	615
109	564	660	620	619
110	568	664	624	622
111	575	666	627	626
112	581	668	631	630
113	585	671	635	634
114	591	676	639	637
115	596	680	642	641
116	602	683	647	647
117	606	687	653	652
118	611	694	658	658
119	617	704	663	663
120	622	716	668	669
121	631	720	675	675
122	638	726	681	682
123	644	733	688	688
124	648	741	694	694
125	652	751	700	701
126	662	755	707	708
127	669	758	714	714
128	676	763	721	721
129	681	769	727	728
130	684	778	734	734
131	693	782	740	742
132	700	787	748	749
133	704	797	757	756
134	708	809	764	763
135	711	824	770	770
136	720	829	777	776
137	725	833	784	782
138	729	839	790	789
139	734	848	796	795
140	737	859	802	801
141	745	862	809	808
142	751	866	816	814
143	757	870	823	820
144	761	876	830	827
145	766	884	837	833
146	776	886	843	840
147	783	889	850	846
148	788	892	857	853
149	791	897	864	859
150	795	904	871	865
151	801	908	880	874
152	808	917	889	883
